participant,min_train_loss,min_train_mae,min_train_loss_epoch,min_train_mae_epoch,end_epoch,init_src_content_0,trained_src_content_0,init_src_content_1,trained_src_content_1,init_att_src_edge_0,trained_att_src_edge_0,init_src_edge_0,trained_src_edge_0,init_full_src_edge_0,trained_full_src_edge_0,init_dst_content_0,trained_dst_content_0,init_att_dst_edge_0,trained_att_dst_edge_0,init_dst_edge_0,trained_dst_edge_0,init_full_dst_edge_0,trained_full_dst_edge_0,init_att_edge_0,trained_att_edge_0,init_edge_0,trained_edge_0,init_full_edge_0,trained_full_edge_0,init_bias_0,trained_bias_0
1,0.73609936,0.757215,445,496,497,0.817901074886322,0.07539615035057068,0.5366313457489014,0.0389820821583271,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.0277971029281616,-0.0007811731775291264,-1.0277971029281616,-0.0007811731775291264,,
2,1.1977003,0.9092374,9999,9999,10000,0.17144156992435455,0.6563620567321777,0.9888017773628235,-0.18689429759979248,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.592284083366394,-101.97069549560547,-1.592284083366394,-101.97069549560547,,
3,0.5937897,0.6561001,1436,1442,1443,-1.2791863679885864,0.5841232538223267,0.23353567719459534,-0.25735899806022644,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.06747674196958542,-0.012981005944311619,-0.06747674196958542,-0.012981005944311619,,
4,0.8382661,0.784769,9999,9999,10000,0.5891925096511841,1.2245395183563232,-0.8370598554611206,0.9134974479675293,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.8134512901306152,-119.58740234375,-0.8134512901306152,-119.58740234375,,
5,0.49412277,0.6324961,2035,2038,2039,1.1948626041412354,-0.3192082643508911,-1.3903006315231323,0.9830099940299988,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.4981707036495209,0.8214211463928223,0.4981707036495209,0.8214211463928223,,
6,0.47914487,0.56124055,1698,1703,1704,0.9351884722709656,0.910662829875946,1.1854815483093262,0.3048708438873291,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.5660490393638611,9.841609954833984,-0.5660490393638611,9.841609954833984,,
7,0.18132555,0.33500558,9999,9999,10000,-0.2442089468240738,-34.82913589477539,-0.3683079779148102,-5.0456647872924805,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.23948077857494354,-8.865285873413086,0.23948077857494354,-8.865285873413086,,
8,0.25037497,0.38698292,4751,3162,4753,0.20121663808822632,-0.09814555943012238,0.42512816190719604,0.996769905090332,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.3562151789665222,-53.05935287475586,-0.3562151789665222,-53.05935287475586,,
9,0.30809203,0.44737443,1885,1886,1887,-0.6704921126365662,0.4253981411457062,0.5067888498306274,0.9696523547172546,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.3979913890361786,9.480566024780273,-0.3979913890361786,9.480566024780273,,
10,0.63104916,0.66719496,1871,761,1872,-0.4959298074245453,0.5461603403091431,1.1926863193511963,0.8772936463356018,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.6176481246948242,11.788890838623047,1.6176481246948242,11.788890838623047,,
11,0.2864343,0.35634783,1065,1066,1067,-1.0498019456863403,1.3278926610946655,-0.1753261685371399,0.9768087267875671,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.6991124153137207,3.993967056274414,-0.6991124153137207,3.993967056274414,,
12,0.38492897,0.4714638,1319,695,1320,-1.004024863243103,0.03574039414525032,0.0015720773953944445,0.9742132425308228,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.3383326530456543,8.33720874786377,-1.3383326530456543,8.33720874786377,,
13,0.34209746,0.44950426,2648,1215,2649,0.16444991528987885,0.9928649067878723,1.1079870462417603,1.0611023902893066,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.32302841544151306,14.045872688293457,0.32302841544151306,14.045872688293457,,
14,0.10571507,0.280967,9999,9998,10000,0.1455537974834442,-7.552623748779297,0.7330739498138428,-84.26935577392578,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.199727863073349,0.15609219670295715,0.199727863073349,0.15609219670295715,,
15,0.8260329,0.80413175,1271,549,1276,-0.4099315404891968,0.6009621024131775,-0.23605909943580627,0.7510770559310913,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.164149284362793,6.776608467102051,1.164149284362793,6.776608467102051,,
16,0.7287819,0.7000669,9999,9999,10000,1.3649115562438965,0.18251478672027588,-0.32545021176338196,0.5466130375862122,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.2772085964679718,65.73375701904297,-0.2772085964679718,65.73375701904297,,
17,0.1722947,0.32359177,1282,203,1284,1.2909774780273438,-0.40092703700065613,-0.4349532723426819,0.8981422185897827,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.8889081478118896,-2.8813672065734863,-0.8889081478118896,-2.8813672065734863,,
18,0.57008356,0.63618416,926,775,928,0.8922073245048523,-0.279859721660614,-0.4609912633895874,0.8003988265991211,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.4401086568832397,6.105113983154297,1.4401086568832397,6.105113983154297,,
19,0.89046735,0.8230997,423,355,435,-1.381905436515808,-0.2415267676115036,-0.8312663435935974,0.2776850759983063,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.7070821523666382,0.5824599862098694,1.7070821523666382,0.5824599862098694,,
20,0.5509447,0.6409123,1967,1968,1969,-0.14654341340065002,0.5631777048110962,-1.0288052558898926,0.3467566668987274,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.205151915550232,10.681387901306152,-1.205151915550232,10.681387901306152,,
21,0.9059011,0.8601959,1546,1552,1553,1.2400377988815308,0.555992603302002,0.05341101437807083,1.2732925415039062,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.3299624919891357,10.502791404724121,-1.3299624919891357,10.502791404724121,,
22,0.7249508,0.7301844,1514,1515,1516,1.199742078781128,0.8496776819229126,-0.4259333610534668,0.8659054040908813,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.3157271146774292,9.491491317749023,1.3157271146774292,9.491491317749023,,
23,0.5763356,0.6262507,473,74,480,1.3189923763275146,0.3314109444618225,-0.4104919135570526,0.46717357635498047,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.3227657079696655,-0.5608184337615967,-1.3227657079696655,-0.5608184337615967,,
24,0.37867057,0.46420678,1094,27,1097,0.9065306782722473,0.2956787049770355,0.750634491443634,0.8963039517402649,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.34136250615119934,5.0228142738342285,-0.34136250615119934,5.0228142738342285,,
25,0.82707906,0.7667096,2210,2210,2211,-0.3909202814102173,1.056718111038208,-0.2783989906311035,1.0404754877090454,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.5237122774124146,13.633612632751465,-1.5237122774124146,13.633612632751465,,
26,0.5931303,0.65761584,6470,5685,6473,0.4307505488395691,0.6897932887077332,-1.0404436588287354,0.9153329730033875,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.6877539157867432,-52.4404411315918,-1.6877539157867432,-52.4404411315918,,
27,0.0055188336,0.05123505,9571,8242,9573,0.07172483205795288,-33.76367950439453,0.7239311337471008,-63.70173645019531,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.8759325742721558,-0.004891461227089167,-0.8759325742721558,-0.004891461227089167,,
28,0.41431233,0.5081547,3689,954,3691,-0.2864016592502594,0.6323437094688416,-0.8639693856239319,0.881635308265686,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.4066665172576904,-37.073673248291016,-1.4066665172576904,-37.073673248291016,,
29,0.51907486,0.61515987,1608,1612,1613,0.1742933988571167,0.4143308997154236,0.27896207571029663,0.9215970635414124,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.31643232703208923,13.513457298278809,0.31643232703208923,13.513457298278809,,
30,1.1514946,0.9540416,3426,1568,3431,-0.8391958475112915,0.49745747447013855,-0.26139459013938904,0.673065185546875,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.1850320100784302,16.473342895507812,1.1850320100784302,16.473342895507812,,
31,0.48198423,0.56492597,9999,3509,10000,0.8083069324493408,-0.16807542741298676,0.5723639726638794,1.0976089239120483,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.4258849322795868,-94.52207946777344,-0.4258849322795868,-94.52207946777344,,
32,0.38403377,0.52872276,2130,853,2132,-0.6940575838088989,0.731408417224884,0.04642273113131523,0.26026540994644165,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.7211833000183105,12.231893539428711,-1.7211833000183105,12.231893539428711,,
33,0.7539041,0.7251559,1300,848,1302,0.35478121042251587,1.1220380067825317,0.1791667491197586,1.1925451755523682,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.30704671144485474,7.5267133712768555,-0.30704671144485474,7.5267133712768555,,
34,0.40771708,0.52127075,9999,9999,10000,1.3708909749984741,0.39232951402664185,-0.10741376876831055,0.5299791097640991,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0525940656661987,69.0797119140625,1.0525940656661987,69.0797119140625,,
35,0.30513135,0.41410702,1998,723,1999,-0.8027961254119873,-4.796448230743408,0.3416794240474701,-5.2557573318481445,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.19399255514144897,-0.17466197907924652,-0.19399255514144897,-0.17466197907924652,,
36,0.9645881,0.8800014,233,31,372,0.6190291047096252,0.06759242713451385,0.6845797896385193,-0.2600376009941101,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.6491496562957764,-0.04264663904905319,0.6491496562957764,-0.04264663904905319,,
37,0.4010952,0.5025942,255,36,265,0.3053707778453827,0.05485241487622261,0.24865712225437164,-0.21146230399608612,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.6811530590057373,-2.489624261856079,-1.6811530590057373,-2.489624261856079,,
38,0.653399,0.69806564,1565,1288,1570,-0.8594118356704712,0.5920467376708984,0.9296770095825195,1.1008890867233276,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.3772101402282715,9.567437171936035,1.3772101402282715,9.567437171936035,,
39,0.58152354,0.6013997,1181,1185,1186,-0.9307541251182556,0.44019773602485657,-0.02635020948946476,0.6913957595825195,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.1826497316360474,7.071380138397217,-1.1826497316360474,7.071380138397217,,
40,0.19055994,0.3349267,1219,423,1221,0.9443842768669128,0.7075273394584656,1.36250901222229,0.8580667972564697,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0767160654067993,9.424118041992188,1.0767160654067993,9.424118041992188,,
41,0.38642636,0.50140893,664,691,692,1.1197999715805054,0.22301094233989716,-0.40851524472236633,-1.4932538270950317,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.7074398398399353,0.6377464532852173,-0.7074398398399353,0.6377464532852173,,
42,0.25547278,0.40948397,3074,3075,3076,-0.5497922897338867,0.4842584431171417,-1.2611414194107056,0.36400243639945984,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.267482727766037,18.4666748046875,-0.267482727766037,18.4666748046875,,
43,0.05304378,0.19120711,9999,9999,10000,-0.7066468596458435,-17.4533748626709,0.6281962394714355,-74.30401611328125,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.3921922743320465,-0.007199394516646862,0.3921922743320465,-0.007199394516646862,,
44,0.49657732,0.55080837,1269,378,1273,0.9616366624832153,0.10443517565727234,0.6811569333076477,1.0571119785308838,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.8954650163650513,6.7591657638549805,0.8954650163650513,6.7591657638549805,,
45,0.17516306,0.2537692,1194,146,1195,-0.6260895729064941,0.08202806115150452,0.46399059891700745,0.309205561876297,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.16377967596054077,6.60500431060791,-0.16377967596054077,6.60500431060791,,
46,0.91548806,0.8118264,2364,1568,2366,0.5461782813072205,0.45371729135513306,-1.3654899597167969,1.1991705894470215,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.2443689107894897,11.898237228393555,-1.2443689107894897,11.898237228393555,,
47,0.4099436,0.565878,2515,2516,2517,-1.1917587518692017,0.29472440481185913,0.20064546167850494,-3.573378324508667,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.1638614386320114,-0.0007204673602245748,-0.1638614386320114,-0.0007204673602245748,,
48,0.4234778,0.53952295,1079,515,1083,-1.1401093006134033,1.4451709985733032,0.5852285623550415,1.2480896711349487,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.5078371167182922,7.020730972290039,-0.5078371167182922,7.020730972290039,,
49,0.33637384,0.42344823,1216,1217,1218,0.6115514636039734,1.1570687294006348,-0.6529927253723145,1.1979624032974243,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.2743104696273804,7.930152416229248,1.2743104696273804,7.930152416229248,,
50,0.7433103,0.75293654,8725,8726,8727,-0.6379984021186829,0.41114342212677,-0.5479656457901001,0.5791552066802979,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.31718161702156067,40.35973358154297,-0.31718161702156067,40.35973358154297,,
51,0.4335889,0.5386792,7197,659,7199,-1.0107793807983398,0.27018487453460693,-1.4127854108810425,-7.05488920211792,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.4555966854095459,-11.258904457092285,0.4555966854095459,-11.258904457092285,,
52,0.4755073,0.59116524,1970,1972,1973,-1.3361033201217651,0.8161107897758484,0.6755753755569458,-0.5284549593925476,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.48236244916915894,5.2303056716918945,-0.48236244916915894,5.2303056716918945,,
53,0.6512352,0.69802153,1336,519,1339,-0.6121972799301147,0.5629041790962219,-0.02136794663965702,0.8632195591926575,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.9480479955673218,8.088589668273926,0.9480479955673218,8.088589668273926,,
54,0.87091005,0.72504026,1279,915,1282,1.349225401878357,1.6594454050064087,-0.7446630001068115,1.1109999418258667,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.12347937375307083,9.194435119628906,0.12347937375307083,9.194435119628906,,
55,0.3775651,0.4516748,9999,9999,10000,0.7833595275878906,-1.6427713632583618,-0.26905182003974915,-29.071239471435547,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.1923060566186905,-33.988346099853516,-0.1923060566186905,-33.988346099853516,,
56,0.6616492,0.6961947,9999,9999,10000,1.3672484159469604,0.6767870783805847,-1.193863034248352,0.855752170085907,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.3052838146686554,-102.16205596923828,-0.3052838146686554,-102.16205596923828,,
57,0.29028758,0.45642284,407,52,532,-0.6211310625076294,-0.00625565042719245,-0.5195821523666382,0.6103581190109253,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.7225202322006226,-0.014318429864943027,-1.7225202322006226,-0.014318429864943027,,
58,0.5990222,0.6399199,1007,522,1020,0.1983644813299179,0.4960876405239105,0.7199526429176331,1.0225213766098022,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.4432536363601685,6.411503314971924,1.4432536363601685,6.411503314971924,,
59,0.3070727,0.4280004,1315,789,1318,1.3515684604644775,1.090218186378479,-0.14165303111076355,0.8698249459266663,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.5826821327209473,7.55227518081665,-1.5826821327209473,7.55227518081665,,
60,0.026154628,0.1279572,9999,9999,10000,-1.3196665048599243,-28.955883026123047,0.6615654230117798,-60.49208068847656,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.4952865839004517,-3.454904079437256,1.4952865839004517,-3.454904079437256,,
61,0.37281007,0.5035784,2643,299,2644,-0.06738437712192535,0.8870437741279602,1.0215740203857422,-3.5812361240386963,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.9227674007415771,-20.112590789794922,-0.9227674007415771,-20.112590789794922,,
62,0.48105365,0.5141798,1858,4,1860,0.945360541343689,0.719877302646637,-0.10574812442064285,0.8768466711044312,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.5457978248596191,9.899238586425781,0.5457978248596191,9.899238586425781,,
63,0.79608047,0.7336363,368,50,424,0.22088876366615295,0.40780797600746155,0.49310630559921265,-0.04297970235347748,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.43641895055770874,-2.089996099472046,-0.43641895055770874,-2.089996099472046,,
64,0.60510737,0.66225207,635,300,686,-1.3319705724716187,1.1649150848388672,-0.5494222640991211,0.9439388513565063,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.2550936937332153,-0.02832801640033722,-1.2550936937332153,-0.02832801640033722,,
65,0.9362957,0.82094973,4288,2665,4293,0.6100400686264038,1.1479917764663696,0.23880690336227417,0.9427197575569153,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.7033957242965698,-48.063777923583984,-1.7033957242965698,-48.063777923583984,,
66,0.43289408,0.5071772,914,412,925,0.5018629431724548,-0.5764418244361877,-1.0439566373825073,0.9560062885284424,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.6210830211639404,-0.08321893960237503,1.6210830211639404,-0.08321893960237503,,
67,0.33396143,0.4305754,1397,928,1402,-0.2730679214000702,0.3958752751350403,-0.45969516038894653,1.0180405378341675,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.5096501111984253,6.291866302490234,1.5096501111984253,6.291866302490234,,
68,0.54072034,0.58804077,1202,1204,1205,0.30304089188575745,1.8136296272277832,-1.0181840658187866,1.0083614587783813,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.7308546304702759,0.8576306104660034,1.7308546304702759,0.8576306104660034,,
69,0.37371892,0.4992061,9999,9999,10000,-0.3737887740135193,0.7149861454963684,-0.5091715455055237,0.163304403424263,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.8312419652938843,-104.94256591796875,-0.8312419652938843,-104.94256591796875,,
70,0.1430798,0.28763178,9999,9998,10000,0.5571717023849487,-17.17542839050293,0.025749363005161285,-84.46539306640625,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.4439353048801422,-3.942662239074707,0.4439353048801422,-3.942662239074707,,
71,0.33810008,0.4523186,5178,3124,5180,-0.6847185492515564,0.6821473836898804,0.7144843339920044,-0.4597424864768982,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.04249803349375725,28.935367584228516,0.04249803349375725,28.935367584228516,,
72,0.8003438,0.77403086,6778,83,6781,-0.8693788647651672,0.6418322920799255,-0.21846818923950195,0.4138833284378052,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.8724086284637451,-66.3584976196289,-0.8724086284637451,-66.3584976196289,,
73,0.6601631,0.6678721,7913,1297,7916,1.371505856513977,0.3856274485588074,-0.7379825115203857,0.7502555251121521,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.415968656539917,30.238393783569336,1.415968656539917,30.238393783569336,,
74,0.4723056,0.47498405,896,903,904,-1.3171262741088867,1.877918004989624,0.022302426397800446,0.9712052345275879,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.2972080707550049,-0.014157074503600597,1.2972080707550049,-0.014157074503600597,,
75,1.1337471,0.8833437,9999,7637,10000,1.0380245447158813,0.4902288615703583,1.069218635559082,0.6636313199996948,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.8637663125991821,45.93022918701172,0.8637663125991821,45.93022918701172,,
76,0.48209822,0.5552208,464,43,465,0.07596581429243088,-0.3452201783657074,0.7078619003295898,0.7672250866889954,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.784797728061676,-3.0956153869628906,-0.784797728061676,-3.0956153869628906,,
77,0.5885804,0.5741599,9999,37,10000,0.34098130464553833,0.37447768449783325,0.8680192232131958,0.9597005844116211,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.5647143125534058,-114.54204559326172,-1.5647143125534058,-114.54204559326172,,
78,0.96933,0.82258314,3427,3431,3432,0.3225134015083313,0.5941509008407593,0.67066490650177,0.9179258346557617,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.5932471752166748,15.261968612670898,0.5932471752166748,15.261968612670898,,
79,0.6554456,0.6026319,214,9,239,-0.05125124007463455,-0.44893941283226013,1.2265887260437012,0.9511616230010986,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.381406307220459,-0.45658019185066223,-1.381406307220459,-0.45658019185066223,,
80,0.55850524,0.6540153,1126,733,1133,0.16312213242053986,0.6036290526390076,-0.9853024482727051,1.0571258068084717,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.07858559489250183,5.90316104888916,-0.07858559489250183,5.90316104888916,,
81,0.98507595,0.8742873,2124,911,2127,0.7066057324409485,0.41711148619651794,0.5483901500701904,0.8164755702018738,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.9418392181396484,12.454254150390625,0.9418392181396484,12.454254150390625,,
82,0.7124918,0.67132825,1050,1051,1054,0.3447630703449249,1.2983778715133667,0.9523620009422302,0.9883027672767639,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.1789672374725342,5.026814937591553,-1.1789672374725342,5.026814937591553,,
83,0.3107811,0.47632673,5733,5733,5734,1.331903100013733,0.14071688055992126,-0.8120970726013184,0.796704888343811,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.3847620189189911,26.112979888916016,0.3847620189189911,26.112979888916016,,
84,0.4976412,0.60873014,172,29,249,0.10640393197536469,0.2612150311470032,0.5340110063552856,0.757794976234436,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.8645445108413696,-0.0547318160533905,-0.8645445108413696,-0.0547318160533905,,
85,0.5280285,0.613615,134,12,242,0.03260244056582451,0.13550417125225067,0.8605226278305054,0.8142622709274292,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.9535470604896545,-0.03523824363946915,-0.9535470604896545,-0.03523824363946915,,
86,0.019905504,0.10245741,9999,9289,10000,0.038841016590595245,-33.33272171020508,-0.1321617215871811,-71.3891830444336,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.9535613059997559,0.005759823136031628,0.9535613059997559,0.005759823136031628,,
87,0.37083888,0.50897807,4316,2584,4318,0.3223748207092285,-0.2702113687992096,-0.16050834953784943,0.980182945728302,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.519481897354126,-50.30887985229492,-1.519481897354126,-50.30887985229492,,
88,0.5826933,0.6221246,1371,383,1375,1.255862832069397,-0.861707329750061,-0.06900787353515625,-1.0601255893707275,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.2379823923110962,-0.17547595500946045,0.2379823923110962,-0.17547595500946045,,
89,0.7722034,0.74098486,2082,2084,2085,-0.11063985526561737,0.46958503127098083,1.0478633642196655,0.6916356682777405,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.17933395504951477,9.226835250854492,-0.17933395504951477,9.226835250854492,,
90,0.337702,0.47860056,375,263,377,-1.1511037349700928,0.05498242378234863,0.22980719804763794,0.966414749622345,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.0061434507369995,-1.1199771165847778,-1.0061434507369995,-1.1199771165847778,,
91,0.66402775,0.6871309,3224,961,3226,-0.7210826873779297,0.33569130301475525,-0.6475387811660767,0.8066445589065552,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.8444114327430725,14.961501121520996,-0.8444114327430725,14.961501121520996,,
92,0.71169406,0.6960918,9999,9999,10000,-1.3322572708129883,0.6581710577011108,0.933549165725708,0.9535004496574402,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.5460201501846313,-95.36071014404297,-1.5460201501846313,-95.36071014404297,,
93,0.9208106,0.8235387,1245,1251,1252,-1.3786643743515015,0.6252339482307434,-1.2935354709625244,0.7794185280799866,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.11690660566091537,6.643096446990967,-0.11690660566091537,6.643096446990967,,
94,1.200208,0.93620104,2069,2070,2071,1.2041772603988647,0.6179845333099365,1.3212367296218872,0.6230366230010986,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.2538591623306274,9.449882507324219,-1.2538591623306274,9.449882507324219,,
95,0.8088077,0.7317888,4719,3595,4722,0.3081423342227936,0.02779959701001644,0.3649080693721771,0.8401548862457275,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.6979144811630249,26.253093719482422,0.6979144811630249,26.253093719482422,,
96,0.05380764,0.1933693,9999,9999,10000,0.8875104784965515,-47.8154296875,-0.24157291650772095,-42.918373107910156,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.23180460929870605,0.03661300241947174,0.23180460929870605,0.03661300241947174,,
