participant,min_train_loss,min_train_mae,min_train_loss_epoch,min_train_mae_epoch,end_epoch,init_src_content_0,trained_src_content_0,init_src_content_1,trained_src_content_1,init_att_src_edge_0,trained_att_src_edge_0,init_src_edge_0,trained_src_edge_0,init_full_src_edge_0,trained_full_src_edge_0,init_dst_content_0,trained_dst_content_0,init_att_dst_edge_0,trained_att_dst_edge_0,init_dst_edge_0,trained_dst_edge_0,init_full_dst_edge_0,trained_full_dst_edge_0,init_att_edge_0,trained_att_edge_0,init_edge_0,trained_edge_0,init_full_edge_0,trained_full_edge_0,init_bias_0,trained_bias_0
1,0.020856985822319984,0.11940442025661469,248.0,32.0,292.0,-0.714780867099762,-11.002692222595215,0.5655000805854797,-5.298421859741211,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0298315286636353,-5.139971733093262,1.0298315286636353,-5.139971733093262,,
2,0.0076318648643791676,0.059271641075611115,212.0,66.0,269.0,-0.6919251084327698,-5.8569817543029785,-0.5418727397918701,-10.577765464782715,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.16180658340454102,-0.16180658340454102,-0.16180658340454102,-0.16180658340454102,,
3,0.0002814029576256871,0.014072622172534466,282.0,85.0,286.0,0.9636377692222595,-4.866621494293213,-1.3532211780548096,-5.150636196136475,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.3075979948043823,-1.3075979948043823,-1.3075979948043823,-1.3075979948043823,,
4,0.15246495604515076,0.32617056369781494,479.0,541.0,545.0,1.2134469747543335,-36.303043365478516,-0.8065522313117981,-2.6456496715545654,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.553088665008545,-4.682124137878418,1.553088665008545,-4.682124137878418,,
5,0.08540628850460052,0.2349899560213089,2847.0,2858.0,2859.0,-1.038256287574768,-591.296875,-0.801557183265686,-1.8924689292907715,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.1045153141021729,-1.1045153141021729,-1.1045153141021729,-1.1045153141021729,,
6,0.013855957426130772,0.07920485734939575,194.0,71.0,293.0,0.07366426289081573,-3.233861207962036,0.3711581230163574,-8.904284477233887,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.5315383672714233,-5.97659158706665,1.5315383672714233,-5.97659158706665,,
7,,,,,,-0.27212515473365784,-0.27212515473365784,-1.4020309448242188,-1.4020309448242188,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.0389246940612793,-1.0389246940612793,-1.0389246940612793,-1.0389246940612793,,
8,0.04839932918548584,0.07035213708877563,186.0,29.0,261.0,1.0678362846374512,1.0678362846374512,-0.6754851937294006,0.9979038238525391,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.2662269175052643,-0.2662269175052643,-0.2662269175052643,-0.2662269175052643,,
9,0.19890066981315613,0.38449376821517944,1198.0,568.0,1198.0,0.6124988794326782,-291.86376953125,1.365383505821228,-0.22068999707698822,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.43979543447494507,-0.43979543447494507,-0.43979543447494507,-0.43979543447494507,,
10,0.5624191164970398,0.5853544473648071,652.0,31.0,653.0,1.103550672531128,-1.5260564088821411,0.9314228892326355,0.8140808343887329,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.2310129404067993,66.13233184814453,1.2310129404067993,66.13233184814453,,
11,0.0003694564220495522,0.008381173014640808,557.0,556.0,558.0,-0.060597557574510574,-55.89200210571289,1.0604069232940674,-0.48919159173965454,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.604168713092804,-1.334613561630249,-0.604168713092804,-1.334613561630249,,
12,0.06202561780810356,0.1907617747783661,164.0,58.0,259.0,1.116142749786377,1.116142749786377,-0.2664213478565216,0.9945492148399353,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.6157547831535339,-0.6157547831535339,-0.6157547831535339,-0.6157547831535339,,
13,0.11222423613071442,0.218999445438385,171.0,54.0,284.0,-1.3915281295776367,-1.3915281295776367,-1.3109476566314697,0.9960848689079285,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.7279082536697388,-1.311331868171692,1.7279082536697388,-1.311331868171692,,
14,,,,,,-0.8575646281242371,-0.8575646281242371,-1.145645022392273,-1.145645022392273,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.658014714717865,0.658014714717865,0.658014714717865,0.658014714717865,,
15,0.13387827575206757,0.3010413944721222,245.0,71.0,324.0,-1.142380714416504,-21.33533477783203,-1.19571852684021,-3.2839035987854004,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.7290874719619751,-5.276416301727295,0.7290874719619751,-5.276416301727295,,
16,1.2527655363082886,1.1192700862884521,0.0,0.0,199.0,0.6811109185218811,0.6811109185218811,0.14213569462299347,0.14213569462299347,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.9144627451896667,0.9144627451896667,0.9144627451896667,0.9144627451896667,,
17,0.048297662287950516,0.14769123494625092,240.0,32.0,243.0,0.9288372993469238,0.9288372993469238,0.6963111162185669,0.9674208164215088,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.7707434892654419,-5.234537124633789,0.7707434892654419,-5.234537124633789,,
18,0.14416658878326416,0.2372022569179535,279.0,272.0,403.0,0.286772221326828,-26.46154022216797,-1.1338800191879272,-0.8642131090164185,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.5705669522285461,-5.434935569763184,0.5705669522285461,-5.434935569763184,,
19,0.11155007034540176,0.22583214938640594,249.0,27.0,268.0,-1.2144566774368286,-9.971378326416016,-1.3034327030181885,-1.321982741355896,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.49452826380729675,-3.85132098197937,0.49452826380729675,-3.85132098197937,,
20,0.0002509772893972695,0.01125665009021759,230.0,147.0,290.0,-0.40884363651275635,-5.858884811401367,-1.0368857383728027,-0.7784547209739685,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.1606146097183228,-5.020002365112305,1.1606146097183228,-5.020002365112305,,
21,0.22279566526412964,0.39193597435951233,203.0,47.0,312.0,-0.13645446300506592,-20.084030151367188,-0.43840089440345764,-1.203467607498169,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.7903861999511719,-0.7903861999511719,-0.7903861999511719,-0.7903861999511719,,
22,0.32326018810272217,0.42520397901535034,169.0,36.0,274.0,0.7012365460395813,0.7012365460395813,-0.5200164318084717,0.9551438689231873,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.27921801805496216,-0.27921801805496216,-0.27921801805496216,-0.27921801805496216,,
23,0.21641211211681366,0.40749654173851013,190.0,14.0,275.0,-0.40868011116981506,-12.638654708862305,0.3389694094657898,-1.648772954940796,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.32311928272247314,-0.32311928272247314,-0.32311928272247314,-0.32311928272247314,,
24,0.15425068140029907,0.31743189692497253,172.0,73.0,228.0,-0.7138437032699585,-0.7138437032699585,-0.6561254262924194,0.9610306024551392,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.306095004081726,-1.306095004081726,-1.306095004081726,-1.306095004081726,,
25,0.5142449140548706,0.5538753271102905,187.0,53.0,304.0,0.7755030393600464,0.9603477120399475,0.7109765410423279,1.1076440811157227,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.4636525809764862,19.44529151916504,0.4636525809764862,19.44529151916504,,
26,0.15162359178066254,0.2965031564235687,530.0,530.0,563.0,0.8326489329338074,-49.98699188232422,-0.5642200112342834,-2.5793700218200684,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.7445797920227051,-0.989501416683197,0.7445797920227051,-0.989501416683197,,
27,,,,,,0.8164351582527161,0.8164351582527161,-0.17440685629844666,-0.17440685629844666,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.31400561332702637,0.31400561332702637,0.31400561332702637,0.31400561332702637,,
28,0.07565324008464813,0.21950329840183258,502.0,56.0,503.0,1.1533845663070679,-28.04485511779785,-1.3338664770126343,0.848125159740448,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.537218451499939,13.269775390625,1.537218451499939,13.269775390625,,
29,0.17655706405639648,0.3073669970035553,163.0,22.0,225.0,0.5046811699867249,0.5046811699867249,0.14407849311828613,0.9896641969680786,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.9113081693649292,-0.9113081693649292,-0.9113081693649292,-0.9113081693649292,,
30,0.04985125735402107,0.19181916117668152,334.0,236.0,385.0,0.40698328614234924,-19.880388259887695,-1.0175058841705322,-6.313413143157959,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.07803698629140854,-2.8462815284729004,0.07803698629140854,-2.8462815284729004,,
31,0.003658853005617857,0.059463322162628174,227.0,54.0,250.0,1.2629575729370117,1.2629575729370117,-0.0767679512500763,0.9991685152053833,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.9453588128089905,0.9453588128089905,0.9453588128089905,0.9453588128089905,,
32,0.0028976534958928823,0.03533935546875,222.0,58.0,275.0,-0.15266582369804382,-5.965076923370361,1.1513044834136963,-3.9461615085601807,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.5163127779960632,-0.5163127779960632,-0.5163127779960632,-0.5163127779960632,,
33,0.03378961235284805,0.11962387710809708,945.0,953.0,954.0,0.48380789160728455,-26.759212493896484,-1.016911268234253,-5.433007717132568,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.3591421842575073,-231.9673614501953,1.3591421842575073,-231.9673614501953,,
34,0.017974939197301865,0.0985819548368454,264.0,16.0,271.0,0.03909086436033249,-11.885003089904785,0.13353672623634338,-0.587475597858429,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.0416512489318848,-1.0416512489318848,-1.0416512489318848,-1.0416512489318848,,
35,7.262263534357771e-05,0.007130334619432688,228.0,74.0,271.0,-1.3410266637802124,-3.076683521270752,0.0881337821483612,-2.9320969581604004,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.4297133684158325,-1.4297133684158325,-1.4297133684158325,-1.4297133684158325,,
36,0.0062658959068357944,0.06811141967773438,182.0,19.0,233.0,0.17658668756484985,-15.223877906799316,0.4318656027317047,-10.510138511657715,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.1776676177978516,-7.035228252410889,1.1776676177978516,-7.035228252410889,,
37,1.04638520070921e-14,1.0058283805847168e-07,285.0,284.0,291.0,0.006077069789171219,-12.00000286102295,1.2574928998947144,-0.08333328366279602,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.1225396394729614,-1.1225396394729614,-1.1225396394729614,-1.1225396394729614,,
38,0.07018216699361801,0.23733854293823242,392.0,378.0,456.0,-0.9102125763893127,-30.614238739013672,-1.1210806369781494,-9.033210754394531,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.3924587965011597,-7.097627639770508,1.3924587965011597,-7.097627639770508,,
39,0.11089875549077988,0.32090750336647034,282.0,50.0,303.0,-0.4616452157497406,-16.794309616088867,0.5077078342437744,-2.96030330657959,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.24219492077827454,-5.76320219039917,0.24219492077827454,-5.76320219039917,,
