epoch,train_loss,train_mae
0,tensor(1.0509),tensor(0.6414)
1,tensor(0.5551),tensor(0.7465)
2,tensor(0.7794),tensor(0.7588)
3,tensor(0.8304),tensor(0.7152)
4,tensor(0.6738),tensor(0.6498)
5,tensor(0.5607),tensor(0.6352)
6,tensor(0.5886),tensor(0.6844)
7,tensor(0.6734),tensor(0.6968)
8,tensor(0.6936),tensor(0.6603)
9,tensor(0.6378),tensor(0.6310)
10,tensor(0.5729),tensor(0.6443)
11,tensor(0.5567),tensor(0.6768)
12,tensor(0.5897),tensor(0.6958)
13,tensor(0.6251),tensor(0.6953)
14,tensor(0.6240),tensor(0.6780)
15,tensor(0.5916),tensor(0.6502)
16,tensor(0.5609),tensor(0.6376)
17,tensor(0.5573),tensor(0.6319)
18,tensor(0.5768),tensor(0.6367)
19,tensor(0.5943),tensor(0.6359)
20,tensor(0.5912),tensor(0.6312)
21,tensor(0.5725),tensor(0.6379)
22,tensor(0.5569),tensor(0.6450)
23,tensor(0.5575),tensor(0.6606)
24,tensor(0.5694),tensor(0.6680)
25,tensor(0.5776),tensor(0.6645)
26,tensor(0.5735),tensor(0.6520)
27,tensor(0.5621),tensor(0.6422)
28,tensor(0.5552),tensor(0.6370)
29,tensor(0.5581),tensor(0.6335)
30,tensor(0.5654),tensor(0.6326)
31,tensor(0.5679),tensor(0.6343)
32,tensor(0.5632),tensor(0.6380)
33,tensor(0.5569),tensor(0.6423)
34,tensor(0.5553),tensor(0.6466)
35,tensor(0.5589),tensor(0.6523)
36,tensor(0.5623),tensor(0.6510)
37,tensor(0.5615),tensor(0.6450)
38,tensor(0.5575),tensor(0.6417)
39,tensor(0.5551),tensor(0.6385)
40,tensor(0.5563),tensor(0.6365)
41,tensor(0.5589),tensor(0.6363)
42,tensor(0.5593),tensor(0.6377)
43,tensor(0.5572),tensor(0.6402)
44,tensor(0.5553),tensor(0.6428)
45,tensor(0.5555),tensor(0.6446)
46,tensor(0.5571),tensor(0.6451)
47,tensor(0.5577),tensor(0.6442)
48,tensor(0.5566),tensor(0.6423)
49,tensor(0.5553),tensor(0.6402)
50,tensor(0.5553),tensor(0.6386)
51,tensor(0.5562),tensor(0.6382)
52,tensor(0.5567),tensor(0.6389)
53,tensor(0.5560),tensor(0.6404)
54,tensor(0.5552),tensor(0.6421)
55,tensor(0.5552),tensor(0.6433)
56,tensor(0.5558),tensor(0.6436)
57,tensor(0.5560),tensor(0.6429)
58,tensor(0.5556),tensor(0.6417)
59,tensor(0.5551),tensor(0.6404)
60,tensor(0.5552),tensor(0.6395)
61,tensor(0.5556),tensor(0.6394)
62,tensor(0.5556),tensor(0.6401)
63,tensor(0.5553),tensor(0.6411)
64,tensor(0.5551),tensor(0.6421)
65,tensor(0.5552),tensor(0.6427)
66,tensor(0.5554),tensor(0.6426)
67,tensor(0.5554),tensor(0.6419)
68,tensor(0.5551),tensor(0.6410)
69,tensor(0.5551),tensor(0.6403)
70,tensor(0.5552),tensor(0.6401)
71,tensor(0.5553),tensor(0.6403)
72,tensor(0.5552),tensor(0.6410)
73,tensor(0.5551),tensor(0.6416)
74,tensor(0.5551),tensor(0.6421)
75,tensor(0.5552),tensor(0.6421)
76,tensor(0.5552),tensor(0.6417)
77,tensor(0.5551),tensor(0.6412)
78,tensor(0.5551),tensor(0.6407)
79,tensor(0.5551),tensor(0.6405)
80,tensor(0.5552),tensor(0.6407)
81,tensor(0.5551),tensor(0.6411)
82,tensor(0.5551),tensor(0.6415)
83,tensor(0.5551),tensor(0.6418)
84,tensor(0.5551),tensor(0.6418)
85,tensor(0.5551),tensor(0.6415)
86,tensor(0.5551),tensor(0.6411)
87,tensor(0.5551),tensor(0.6408)
88,tensor(0.5551),tensor(0.6408)
89,tensor(0.5551),tensor(0.6409)
90,tensor(0.5551),tensor(0.6412)
91,tensor(0.5551),tensor(0.6415)
92,tensor(0.5551),tensor(0.6416)
93,tensor(0.5551),tensor(0.6415)
94,tensor(0.5551),tensor(0.6413)
95,tensor(0.5551),tensor(0.6411)
96,tensor(0.5551),tensor(0.6409)
