participant,min_train_loss,min_train_mae,min_train_loss_epoch,min_train_mae_epoch,end_epoch,init_src_content_0,trained_src_content_0,init_att_src_edge_0,trained_att_src_edge_0,init_src_edge_0,trained_src_edge_0,init_full_src_edge_0,trained_full_src_edge_0,init_dst_content_0,trained_dst_content_0,init_att_dst_edge_0,trained_att_dst_edge_0,init_dst_edge_0,trained_dst_edge_0,init_full_dst_edge_0,trained_full_dst_edge_0,init_att_edge_0,trained_att_edge_0,init_edge_0,trained_edge_0,init_full_edge_0,trained_full_edge_0,init_bias_0,trained_bias_0
1,0.7554072737693787,0.7501547336578369,223.0,0.0,226.0,0.18251432478427887,-0.4331488013267517,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.1797270774841309,-1.1797270774841309,-1.1797270774841309,-1.1797270774841309,,
2,1.8208715915679932,1.15339195728302,43.0,3.0,242.0,0.5108298063278198,-0.721297562122345,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.0011552572250366,-1.0011552572250366,-1.0011552572250366,-1.0011552572250366,,
3,0.014500674791634083,0.11397800594568253,176.0,51.0,269.0,0.8200486302375793,-4.9422926902771,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.5081375241279602,-6.702184677124023,0.5081375241279602,-6.702184677124023,,
4,0.672227144241333,0.6048658490180969,177.0,1.0,274.0,0.5873390436172485,0.9541465640068054,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.7183703184127808,-2.9638094902038574,1.7183703184127808,-2.9638094902038574,,
5,0.35401031374931335,0.37269076704978943,169.0,14.0,272.0,-0.40344834327697754,0.987858235836029,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.3679546117782593,-6.6853928565979,1.3679546117782593,-6.6853928565979,,
6,0.6956391930580139,0.7810961604118347,131.0,6.0,214.0,0.8585982322692871,0.028265701606869698,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.8095548748970032,-0.8095548748970032,-0.8095548748970032,-0.8095548748970032,,
7,,,,,,-1.4704691171646118,-1.4704691171646118,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.6534286737442017,0.6534286737442017,0.6534286737442017,0.6534286737442017,,
8,0.04839932546019554,0.07241591066122055,157.0,50.0,261.0,0.230880007147789,0.9979045987129211,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.2079929113388062,-1.575987458229065,1.2079929113388062,-1.575987458229065,,
9,0.314634770154953,0.45469236373901367,188.0,16.0,260.0,0.6256590485572815,0.9495378732681274,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.7882200479507446,6.637191295623779,0.7882200479507446,6.637191295623779,,
10,0.8731654286384583,0.6523908972740173,164.0,4.0,284.0,-0.40603840351104736,0.9195950031280518,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.2865202724933624,7.214216709136963,-0.2865202724933624,7.214216709136963,,
11,0.2696188986301422,0.1313810795545578,1238.0,27.0,1247.0,0.6065233945846558,0.9762420058250427,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.0800018161535263,-55.540138244628906,-0.0800018161535263,-55.540138244628906,,
