participant,min_train_loss,min_train_mae,min_train_loss_epoch,min_train_mae_epoch,end_epoch,init_src_content_0,trained_src_content_0,init_att_src_edge_0,trained_att_src_edge_0,init_src_edge_0,trained_src_edge_0,init_full_src_edge_0,trained_full_src_edge_0,init_dst_content_0,trained_dst_content_0,init_att_dst_edge_0,trained_att_dst_edge_0,init_dst_edge_0,trained_dst_edge_0,init_full_dst_edge_0,trained_full_dst_edge_0,init_att_edge_0,trained_att_edge_0,init_bias_0,trained_bias_0
1,0.7554073333740234,0.7499251365661621,65.0,2.0,218.0,0.29515472054481506,-0.4331521689891815,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
2,1.8208715915679932,1.16730797290802,103.0,3.0,227.0,-0.8495820164680481,-0.7212979793548584,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
3,0.014500667341053486,0.11363714933395386,179.0,43.0,260.0,-0.5580567717552185,-4.942299842834473,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
4,0.672227144241333,0.6047067642211914,158.0,0.0,237.0,0.2594757676124573,0.9541462063789368,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
5,0.35401031374931335,0.35740888118743896,113.0,8.0,253.0,0.5965666770935059,0.987858235836029,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
6,0.6956390738487244,0.7670148015022278,156.0,3.0,247.0,-1.5283046960830688,0.028255166485905647,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
7,,,,,,-1.081717610359192,-1.081717610359192,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
8,0.048399318009614944,0.07346652448177338,208.0,39.0,219.0,-0.38339224457740784,0.997892439365387,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
9,0.3438730537891388,0.5079405307769775,132.0,13.0,253.0,0.18764443695545197,0.9774478673934937,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
10,0.8936904072761536,0.6743755340576172,209.0,23.0,289.0,-1.705392599105835,0.9269886016845703,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
11,0.27011528611183167,0.12625931203365326,231.0,56.0,287.0,-1.4927326440811157,0.9930546283721924,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
12,0.062025610357522964,0.19096580147743225,221.0,63.0,261.0,0.2313670814037323,0.9945470690727234,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
13,0.11222420632839203,0.19751518964767456,233.0,41.0,279.0,-1.4125282764434814,0.9960861206054688,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
14,,,,,,-0.524345338344574,-0.524345338344574,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
15,0.8622837066650391,0.7950809001922607,154.0,11.0,255.0,-0.07413086295127869,0.7952542304992676,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
16,1.2527655363082886,1.1192700862884521,0.0,0.0,199.0,1.3753635883331299,1.3753635883331299,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
17,0.048297662287950516,0.1473633497953415,166.0,9.0,232.0,0.01857607439160347,0.967418372631073,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
18,0.7542545199394226,0.4482842981815338,158.0,18.0,288.0,-0.9342450499534607,0.9407568573951721,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
19,0.6973855495452881,0.6915847659111023,179.0,3.0,255.0,-1.1455135345458984,0.5427457094192505,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
20,0.5797775983810425,0.7165102362632751,104.0,3.0,226.0,-1.1156930923461914,0.29603588581085205,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
21,0.6569132804870605,0.686340868473053,191.0,51.0,252.0,-1.6879234313964844,0.841664731502533,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
22,0.32326018810272217,0.42476677894592285,95.0,21.0,255.0,1.660107970237732,0.9551430940628052,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
23,0.7920505404472351,0.64583820104599,134.0,18.0,231.0,-0.5481879711151123,0.3443707525730133,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
24,0.15425068140029907,0.3174780607223511,183.0,28.0,244.0,0.9040858149528503,0.9610235095024109,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
25,1.3271037340164185,0.9842086434364319,140.0,2.0,270.0,-0.5952421426773071,0.5026620030403137,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
26,0.621335506439209,0.5481508374214172,162.0,4.0,261.0,1.4794690608978271,0.9704580903053284,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
27,,,,,,-0.56546550989151,-0.56546550989151,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
28,0.11069991439580917,0.2903457283973694,154.0,4.0,241.0,1.398491382598877,0.9611207842826843,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
29,0.1765570491552353,0.3024246096611023,186.0,32.0,207.0,-0.7429052591323853,0.9896646738052368,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
30,1.4587692022323608,1.0681719779968262,128.0,7.0,200.0,1.674851655960083,0.6797971129417419,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
31,0.003658855799585581,0.05937790870666504,217.0,66.0,219.0,-1.5751882791519165,0.9991474747657776,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
32,0.24734549224376678,0.39820489287376404,151.0,69.0,250.0,-0.33969953656196594,-2.6774768829345703,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
33,1.3325116634368896,0.8536331057548523,175.0,4.0,269.0,-1.327534794807434,0.851098358631134,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
34,0.16539260745048523,0.2901392877101898,221.0,9.0,244.0,0.10408172756433487,0.7313622832298279,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
35,0.0009133183630183339,0.02938133291900158,202.0,16.0,240.0,-0.8941055536270142,-2.992241859436035,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
36,0.6305891275405884,0.6983813047409058,83.0,2.0,219.0,-1.0701947212219238,-2.434436798095703,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
37,1.0324294567108154,0.7228084206581116,156.0,30.0,262.0,0.16151772439479828,-0.1655176281929016,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
38,1.054192066192627,0.9443840384483337,78.0,44.0,200.0,-0.2432442307472229,0.7584589719772339,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
39,0.9741561412811279,0.7455482482910156,114.0,59.0,280.0,-0.9819948077201843,0.7824398279190063,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
40,0.1677352488040924,0.29696372151374817,204.0,69.0,247.0,-1.1048754453659058,0.96684730052948,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
41,0.5707916021347046,0.6927551031112671,86.0,7.0,240.0,0.7771390676498413,-0.3410421311855316,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
42,0.10826369374990463,0.2205216884613037,125.0,17.0,235.0,0.9740189909934998,0.7407435178756714,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
43,,,,,,-0.990391194820404,-0.990391194820404,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
44,0.006033699493855238,0.039427440613508224,218.0,54.0,241.0,1.409121036529541,0.9996920824050903,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
45,0.23075167834758759,0.2939437925815582,84.0,9.0,220.0,0.9680976867675781,0.43217942118644714,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
46,0.9468468427658081,0.8627844452857971,142.0,13.0,208.0,-1.3433746099472046,0.6737263202667236,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
47,0.6282691359519958,0.607629120349884,33.0,50.0,232.0,0.042314063757658005,-0.0946415364742279,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
48,0.5657267570495605,0.6560690999031067,155.0,30.0,259.0,-1.5400062799453735,0.9461101293563843,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
49,0.6077895760536194,0.675635814666748,209.0,1.0,217.0,-0.295936644077301,-0.24535104632377625,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
50,0.47165176272392273,0.5452570915222168,243.0,33.0,294.0,-1.7287378311157227,0.7896277904510498,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
51,0.702573835849762,0.7293608784675598,65.0,8.0,227.0,-0.8916261792182922,0.6267738938331604,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
52,0.5754631757736206,0.49927377700805664,132.0,53.0,255.0,0.6102637052536011,-1.0672460794448853,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
53,0.9953397512435913,0.8254778981208801,265.0,3.0,270.0,1.2173824310302734,0.9049966335296631,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
54,0.8184633255004883,0.41049420833587646,196.0,7.0,279.0,0.8625016808509827,0.9734403491020203,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
55,0.7383482456207275,0.37764105200767517,143.0,8.0,233.0,0.6059380173683167,0.9552198648452759,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
56,0.19554941356182098,0.37065282464027405,147.0,29.0,277.0,0.27747949957847595,0.940729022026062,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
57,0.31573158502578735,0.41991469264030457,103.0,1.0,223.0,1.490699291229248,0.7711553573608398,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
