participant,min_train_loss,min_train_mae,min_train_loss_epoch,min_train_mae_epoch,end_epoch,init_src_content_0,trained_src_content_0,init_att_src_edge_0,trained_att_src_edge_0,init_src_edge_0,trained_src_edge_0,init_full_src_edge_0,trained_full_src_edge_0,init_dst_content_0,trained_dst_content_0,init_att_dst_edge_0,trained_att_dst_edge_0,init_dst_edge_0,trained_dst_edge_0,init_full_dst_edge_0,trained_full_dst_edge_0,init_att_edge_0,trained_att_edge_0,init_edge_0,trained_edge_0,init_full_edge_0,trained_full_edge_0,init_bias_0,trained_bias_0
1,0.7684767842292786,0.773069441318512,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.405712366104126,-0.405712366104126,-0.405712366104126,-0.405712366104126,,
2,1.896484375,1.337746262550354,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.16607506573200226,0.16607506573200226,0.16607506573200226,0.16607506573200226,,
3,1.047479271888733,0.8369317054748535,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.5585675835609436,-0.5585675835609436,-0.5585675835609436,-0.5585675835609436,,
4,1.4156017303466797,1.097422480583191,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.266167402267456,-1.266167402267456,-1.266167402267456,-1.266167402267456,,
5,1.7097467184066772,1.1898547410964966,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.16449613869190216,0.16449613869190216,0.16449613869190216,0.16449613869190216,,
6,0.6957339644432068,0.7951571345329285,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.3309864401817322,-0.3309864401817322,-0.3309864401817322,-0.3309864401817322,,
7,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.7371423244476318,-0.7371423244476318,-0.7371423244476318,-0.7371423244476318,,
8,2.1404082775115967,1.449276089668274,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.9387127757072449,0.9387127757072449,0.9387127757072449,0.9387127757072449,,
9,1.3861734867095947,1.0522868633270264,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.4610098600387573,-1.4610098600387573,-1.4610098600387573,-1.4610098600387573,,
10,1.7073569297790527,1.2170027494430542,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.1502748727798462,1.1502748727798462,1.1502748727798462,1.1502748727798462,,
11,2.188633680343628,1.4701764583587646,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.042449712753296,-1.042449712753296,-1.042449712753296,-1.042449712753296,,
12,1.6708334684371948,1.2748444080352783,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.048796601593494415,-0.048796601593494415,-0.048796601593494415,-0.048796601593494415,,
13,1.8904727697372437,1.3385865688323975,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.9322754740715027,-0.9322754740715027,-0.9322754740715027,-0.9322754740715027,,
14,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.1980712413787842,-1.1980712413787842,-1.1980712413787842,-1.1980712413787842,,
15,1.1090126037597656,0.9102663397789001,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.6951544880867004,0.6951544880867004,0.6951544880867004,0.6951544880867004,,
16,1.2527655363082886,1.1192700862884521,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.5661817789077759,1.5661817789077759,1.5661817789077759,1.5661817789077759,,
17,0.32760414481163025,0.5445098280906677,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.7306256890296936,-0.7306256890296936,-0.7306256890296936,-0.7306256890296936,,
18,1.887750267982483,1.2916982173919678,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.5090819597244263,-0.5090819597244263,-0.5090819597244263,-0.5090819597244263,,
19,0.7784411907196045,0.7663471102714539,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.0521057844161987,-1.0521057844161987,-1.0521057844161987,-1.0521057844161987,,
20,0.6016752123832703,0.7713888883590698,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.6791225671768188,-1.6791225671768188,-1.6791225671768188,-1.6791225671768188,,
21,0.989319920539856,0.8335705399513245,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.8152709603309631,-0.8152709603309631,-0.8152709603309631,-0.8152709603309631,,
22,1.149703025817871,0.9491108059883118,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.9676797986030579,-0.9676797986030579,-0.9676797986030579,-0.9676797986030579,,
23,0.8188578486442566,0.6503866910934448,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.527545690536499,0.527545690536499,0.527545690536499,0.527545690536499,,
24,0.6133427023887634,0.7033251523971558,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.19208824634552,1.19208824634552,1.19208824634552,1.19208824634552,,
25,1.4064000844955444,1.0755748748779297,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.7975336313247681,-0.7975336313247681,-0.7975336313247681,-0.7975336313247681,,
26,1.6132217645645142,1.1797713041305542,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.40976032614707947,0.40976032614707947,0.40976032614707947,0.40976032614707947,,
27,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.312059760093689,-1.312059760093689,-1.312059760093689,-1.312059760093689,,
28,0.3506479263305664,0.5197593569755554,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.9908388257026672,0.9908388257026672,0.9908388257026672,0.9908388257026672,,
29,1.6980013847351074,1.245772361755371,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.8030807971954346,-0.8030807971954346,-0.8030807971954346,-0.8030807971954346,,
30,1.6126596927642822,1.1840927600860596,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.27650511264801025,0.27650511264801025,0.27650511264801025,0.27650511264801025,,
31,2.19805908203125,1.4822766780853271,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.4130158424377441,1.4130158424377441,1.4130158424377441,1.4130158424377441,,
32,0.45495495200157166,0.6201361417770386,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.6752262115478516,0.6752262115478516,0.6752262115478516,0.6752262115478516,,
33,1.7690016031265259,1.2443057298660278,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.7262345552444458,-1.7262345552444458,-1.7262345552444458,-1.7262345552444458,,
34,0.2349965125322342,0.44770804047584534,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.5785675048828125,0.5785675048828125,0.5785675048828125,0.5785675048828125,,
35,0.26514890789985657,0.3856944441795349,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.1071516275405884,1.1071516275405884,1.1071516275405884,1.1071516275405884,,
36,0.733579695224762,0.7195307612419128,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.5949187278747559,-1.5949187278747559,-1.5949187278747559,-1.5949187278747559,,
37,1.061510682106018,0.786514163017273,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.33220982551574707,-0.33220982551574707,-0.33220982551574707,-0.33220982551574707,,
38,1.1955721378326416,0.9495308995246887,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-4.748960418510251e-05,-4.748960418510251e-05,-4.748960418510251e-05,-4.748960418510251e-05,,
39,1.2283908128738403,1.0010180473327637,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.1160811185836792,1.1160811185836792,1.1160811185836792,1.1160811185836792,,
40,0.48378047347068787,0.6009774804115295,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0209181308746338,1.0209181308746338,1.0209181308746338,1.0209181308746338,,
41,0.5782259106636047,0.699543833732605,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.4667294919490814,0.4667294919490814,0.4667294919490814,0.4667294919490814,,
42,0.191865012049675,0.3730900287628174,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.5913238525390625,-1.5913238525390625,-1.5913238525390625,-1.5913238525390625,,
43,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.6472213864326477,0.6472213864326477,0.6472213864326477,0.6472213864326477,,
44,2.1919586658477783,1.4789155721664429,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.588780164718628,1.588780164718628,1.588780164718628,1.588780164718628,,
45,0.23739099502563477,0.29998457431793213,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.3189280033111572,-1.3189280033111572,-1.3189280033111572,-1.3189280033111572,,
46,1.1442615985870361,0.8686228394508362,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.11762390285730362,0.11762390285730362,0.11762390285730362,0.11762390285730362,,
47,0.6295856833457947,0.6171111464500427,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.5018818974494934,-0.5018818974494934,-0.5018818974494934,-0.5018818974494934,,
48,1.0368489027023315,0.8455026745796204,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.6078425645828247,0.6078425645828247,0.6078425645828247,0.6078425645828247,,
49,0.6105211973190308,0.6755954623222351,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.6843402981758118,-0.6843402981758118,-0.6843402981758118,-0.6843402981758118,,
50,1.2527656555175781,1.0587689876556396,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.1004066467285156,1.1004066467285156,1.1004066467285156,1.1004066467285156,,
