participant,min_train_loss,min_train_mae,min_train_loss_epoch,min_train_mae_epoch,end_epoch,init_src_content_0,trained_src_content_0,init_att_src_edge_0,trained_att_src_edge_0,init_src_edge_0,trained_src_edge_0,init_full_src_edge_0,trained_full_src_edge_0,init_dst_content_0,trained_dst_content_0,init_att_dst_edge_0,trained_att_dst_edge_0,init_dst_edge_0,trained_dst_edge_0,init_full_dst_edge_0,trained_full_dst_edge_0,init_att_edge_0,trained_att_edge_0,init_edge_0,trained_edge_0,init_full_edge_0,trained_full_edge_0,init_bias_0,trained_bias_0
1,0.7554072737693787,0.749960720539093,187.0,16.0,263.0,1.0,-0.43315091729164124,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.4776698648929596,-5.527830600738525,0.4776698648929596,-5.527830600738525,,
2,1.8208715915679932,1.1556600332260132,144.0,5.0,215.0,1.0,-0.7212912440299988,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.12251616269350052,-1.9109584093093872,0.12251616269350052,-1.9109584093093872,,
3,0.01450068037956953,0.11358332633972168,211.0,5.0,247.0,1.0,-4.942297458648682,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.3064105808734894,-0.3064105808734894,-0.3064105808734894,-0.3064105808734894,,
4,0.672227144241333,0.6046720147132874,154.0,5.0,259.0,1.0,0.9541449546813965,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.7701358199119568,-0.7701358199119568,-0.7701358199119568,-0.7701358199119568,,
5,0.35401031374931335,0.36327624320983887,182.0,13.0,260.0,1.0,0.9878597855567932,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.9121055603027344,-0.9121055603027344,-0.9121055603027344,-0.9121055603027344,,
6,0.6956391930580139,0.7803777456283569,150.0,7.0,243.0,1.0,0.028252797201275826,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.6350473165512085,-0.6350473165512085,-0.6350473165512085,-0.6350473165512085,,
7,,,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.141107439994812,1.141107439994812,1.141107439994812,1.141107439994812,,
8,0.04839932918548584,0.07664244621992111,176.0,49.0,199.0,1.0,0.9978898763656616,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.4032815098762512,-0.4032815098762512,-0.4032815098762512,-0.4032815098762512,,
9,0.314634770154953,0.453631728887558,240.0,25.0,272.0,1.0,0.9495373368263245,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.6128894090652466,6.637215614318848,1.6128894090652466,6.637215614318848,,
10,0.8731654286384583,0.6647709608078003,134.0,4.0,283.0,1.0,0.9195950627326965,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.15380561351776123,7.214219570159912,0.15380561351776123,7.214219570159912,,
11,0.268110066652298,0.1249973326921463,1967.0,36.0,1976.0,1.0,0.9763027429580688,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.1712361574172974,-183.51483154296875,-1.1712361574172974,-183.51483154296875,,
12,0.06202559918165207,0.19132931530475616,157.0,51.0,240.0,1.0,0.9945485591888428,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.1768722534179688,-1.1768722534179688,-1.1768722534179688,-1.1768722534179688,,
13,0.11222422122955322,0.20516687631607056,217.0,33.0,270.0,1.0,0.9960862398147583,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.4840701818466187,-1.8535549640655518,1.4840701818466187,-1.8535549640655518,,
14,,,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.12732891738414764,-0.12732891738414764,-0.12732891738414764,-0.12732891738414764,,
15,0.8622837066650391,0.7860910296440125,127.0,4.0,258.0,1.0,0.795255720615387,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.4567265212535858,-0.4567265212535858,-0.4567265212535858,-0.4567265212535858,,
16,1.2527655363082886,1.1192700862884521,0.0,0.0,199.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.30761516094207764,0.30761516094207764,0.30761516094207764,0.30761516094207764,,
17,0.048297662287950516,0.14829690754413605,184.0,42.0,234.0,1.0,0.9674171209335327,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.4026845693588257,-4.602677345275879,1.4026845693588257,-4.602677345275879,,
