participant,min_train_loss,min_train_mae,init_src_content_weight_mean_0,trained_src_content_weight_mean_0,init_src_content_weight_mean_1,trained_src_content_weight_mean_1,init_src_content_weight_std_0,trained_src_content_weight_std_0,init_src_content_weight_std_1,trained_src_content_weight_std_1,init_att_src_edge_0,trained_att_src_edge_0,init_src_edge_weight_mean_0,trained_src_edge_weight_mean_0,init_src_edge_weight_std_0,trained_src_edge_weight_std_0,init_full_src_edge_weight_mean_0,trained_full_src_edge_weight_mean_0,init_full_src_edge_weight_std_0,trained_full_src_edge_weight_std_0,init_dst_content_weight_mean_0,trained_dst_content_weight_mean_0,init_dst_content_weight_std_0,trained_dst_content_weight_std_0,init_att_dst_edge_0,trained_att_dst_edge_0,init_dst_edge_weight_mean_0,trained_dst_edge_weight_mean_0,init_dst_edge_weight_std_0,trained_dst_edge_weight_std_0,init_full_dst_edge_weight_mean_0,trained_full_dst_edge_weight_mean_0,init_full_dst_edge_weight_std_0,trained_full_dst_edge_weight_std_0,init_att_edge_0,trained_att_edge_0,init_edge_weight_mean_0,trained_edge_weight_mean_0,init_edge_weight_std_0,trained_edge_weight_std_0,init_full_edge_weight_mean_0,trained_full_edge_weight_mean_0,init_full_edge_weight_std_0,trained_full_edge_weight_std_0,init_bias_0,trained_bias_0
1,85.24119,0.72960585,0.0549376904964447,2.5961294174194336,-0.30291521549224854,2.4977355003356934,0.7408495545387268,-2.918720006942749,1.495606541633606,-2.6130025386810303,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,0.007198294159024954,4.567893981933594,-1.1851938962936401,-3.465897798538208,0.007198294159024954,4.567893981933594,-1.1851938962936401,-3.465897798538208,,
2,112.58369,0.7048692,-1.1783387660980225,0.729468047618866,-0.4939139783382416,-1.2825628519058228,1.3997883796691895,-1.816917896270752,0.055380307137966156,-1.3737975358963013,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,-1.1349616050720215,0.02080232836306095,-0.4364270567893982,-0.10462891310453415,-1.1349616050720215,0.02080232836306095,-0.4364270567893982,-0.10462891310453415,,
3,89.73295,0.6410176,-0.4570138454437256,0.7206611037254333,-0.4377088248729706,-2.5137298107147217,-0.6853073239326477,-2.992648124694824,0.3372356593608856,-1.5732115507125854,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,0.18324266374111176,-1.2113808393478394,0.7473047375679016,-0.5895387530326843,0.18324266374111176,-1.2113808393478394,0.7473047375679016,-0.5895387530326843,,
4,105.82278,0.6846723,0.07435110956430435,-17.959421157836914,-0.3857567012310028,-6.75240421295166,-0.06301304697990417,-4.936274528503418,-0.7376071810722351,-5.512447357177734,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,1.6534303426742554,-29.152278900146484,-0.15932652354240417,-3.485305070877075,1.6534303426742554,-29.152278900146484,-0.15932652354240417,-3.485305070877075,,
5,66.36,0.5310001,0.9851623177528381,5.278794765472412,1.1080693006515503,1.097670316696167,-0.880670428276062,-2.2697410583496094,1.18208909034729,-2.2543468475341797,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,-1.1744344234466553,-4.924890995025635,-1.0619584321975708,-1.4819365739822388,-1.1744344234466553,-4.924890995025635,-1.0619584321975708,-1.4819365739822388,,
6,68.12521,0.54991037,0.5844430327415466,0.797877311706543,-2.847172260284424,-3.449230194091797,-0.3457055985927582,-3.100450277328491,-1.3116456270217896,-2.2600321769714355,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,0.12775902450084686,-0.5549266338348389,-1.3498867750167847,-1.9015882015228271,0.12775902450084686,-0.5549266338348389,-1.3498867750167847,-1.9015882015228271,,
7,50.53724,0.3509633,0.18461771309375763,10.682814598083496,0.23030565679073334,1.111890196800232,0.24951183795928955,-2.051285982131958,-0.8197765350341797,-3.8299734592437744,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,0.6021997332572937,3.382772922515869,-0.3507610559463501,-2.525623321533203,0.6021997332572937,3.382772922515869,-0.3507610559463501,-2.525623321533203,,
8,47.1866,0.4685834,-1.3305422067642212,2.6738545894622803,-0.5702216625213623,1.0457568168640137,0.02080422081053257,-2.5802910327911377,0.5753499865531921,-2.753998279571533,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,0.5069049596786499,8.078848838806152,-0.5884562730789185,-2.189584732055664,0.5069049596786499,8.078848838806152,-0.5884562730789185,-2.189584732055664,,
9,61.436962,0.5596485,0.6392871141433716,3.892615795135498,-0.1660187840461731,1.1388983726501465,-0.4347494840621948,-2.8057403564453125,-0.8191781640052795,-3.5502490997314453,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,-0.4960245192050934,4.91892671585083,-0.14347341656684875,-1.9913967847824097,-0.4960245192050934,4.91892671585083,-0.14347341656684875,-1.9913967847824097,,
10,109.70723,0.7789561,-0.30406028032302856,3.7450191974639893,-1.1770137548446655,2.3722822666168213,0.5864077210426331,-2.9565818309783936,-0.5034564137458801,-3.43580961227417,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,0.26031169295310974,3.550901174545288,1.0717291831970215,-2.467228651046753,0.26031169295310974,3.550901174545288,1.0717291831970215,-2.467228651046753,,
